zip,State,County
50008,19,185
50069,19,49
50070,19,49
50155,19,121
50157,19,157
50052,19,185
49893,26,109
51020,19,35
51360,19,59
51002,19,21
51044,19,193
50854,19,159
51235,19,119
51245,19,141
52030,19,97
50801,19,175
51358,19,147
51238,19,141
52033,19,61
50482,19,33
50536,19,147
50568,19,21
50625,19,23
50539,19,147
50638,19,75
50650,19,19
50669,19,75
50470,19,197
50677,19,17
50703,19,13
50436,19,189
50472,19,131
50634,19,13
50468,19,67
50666,19,17
50219,19,125
50263,19,49
50234,19,127
50238,19,117
50211,19,181
52641,19,87
52776,19,139
52748,19,163
52754,19,139
52570,19,177
52761,19,115
52621,19,183
53018,55,133
53023,55,117
53029,55,133
53011,55,117
53013,55,117
53039,55,27
53080,55,89
53081,55,117
53014,55,15
53086,55,131
53078,55,27
53004,55,89
52240,19,103
52241,19,103
52246,19,103
52101,19,191
52215,19,157
52301,19,95
52356,19,183
52162,19,43
52216,19,105
52205,19,105
52255,19,31
52338,19,103
52347,19,157
52332,19,11
52347,19,95
52171,19,65
52542,19,177
52079,19,97
53105,55,59
53130,55,79
53151,55,133
53128,55,127
53143,55,59
53183,55,133
53104,55,59
53179,55,59
53214,55,79
53201,55,79
53209,55,79
53402,55,101
53224,55,79
53226,55,79
54227,55,71
54208,55,9
54216,55,61
54409,55,67
54141,55,83
54420,55,19
54418,55,67
54151,55,75
54173,55,9
54247,55,71
54205,55,61
54436,55,19
54430,55,67
53718,55,25
53901,55,21
53714,55,25
53951,55,111
54121,55,37
54129,55,15
54130,55,87
54137,55,115
53963,55,27
54115,55,87
53965,55,57
54125,55,75
53538,55,55
53545,55,105
53503,55,49
53573,55,103
53521,55,45
53530,55,65
53508,55,45
53570,55,45
53594,55,55
53521,55,105
53578,55,111
53578,55,21
53531,55,25
54960,55,137
60004,17,31
54915,55,15
54935,55,39
54986,55,139
54981,55,97
54915,55,87
54971,55,139
60010,17,31
60015,17,97
54971,55,39
60056,17,31
60060,17,97
60020,17,97
54479,55,19
54484,55,73
54499,55,115
54519,55,125
54521,55,85
54555,55,99
54452,55,69
54524,55,99
54530,55,107
54902,55,139
54541,55,41
54451,55,119
54473,55,97
54566,55,41
54460,55,119
60090,17,31
60091,17,31
61081,17,195
60084,17,97
61072,17,201
61080,17,201
61019,17,177
60083,17,97
54023,55,109
61101,17,201
61089,17,177
54006,55,95
54618,55,57
54636,55,63
55113,27,123
55119,27,123
55092,27,25
55304,27,3
55021,27,131
55027,27,49
55076,27,37
55080,27,59
54895,55,107
54891,55,7
55047,27,163
55073,27,163
54751,55,33
54748,55,17
54859,55,129
54758,55,35
54756,55,11
54746,55,19
54853,55,13
54873,55,31
54846,55,3
55401,27,53
55375,27,53
55411,27,53
55382,27,145
55422,27,53
55426,27,53
55421,27,3
55389,27,93
55433,27,3
55720,27,17
55802,27,137
55313,27,171
55346,27,53
55355,27,93
55305,27,53
55308,27,141
55369,27,53
55317,27,19
55312,27,85
55367,27,19
55373,27,171
55360,27,19
55953,27,99
55960,27,109
55941,27,55
56011,27,139
56123,27,101
56201,27,67
56058,27,79
56131,27,105
56219,27,155
56073,27,13
56152,27,33
56273,27,67
