Column1,ZCTA5,STATE,COUNTY,Column2,Column3
41234,91759,6,37,Los Angeles,Los Angeles - 91759
41235,91759,6,71,San Bernardino,San Bernardino - 91759
41236,91761,6,71,San Bernardino,San Bernardino - 91761
41237,91762,6,71,San Bernardino,San Bernardino - 91762
41238,91763,6,71,San Bernardino,San Bernardino - 91763
41239,91764,6,71,San Bernardino,San Bernardino - 91764
41240,91765,6,37,Los Angeles,Los Angeles - 91765
41241,91766,6,37,Los Angeles,Los Angeles - 91766
41242,91766,6,71,San Bernardino,San Bernardino - 91766
41243,91767,6,37,Los Angeles,Los Angeles - 91767
41244,91768,6,37,Los Angeles,Los Angeles - 91768
41245,91770,6,37,Los Angeles,Los Angeles - 91770
41246,91773,6,37,Los Angeles,Los Angeles - 91773
41247,91775,6,37,Los Angeles,Los Angeles - 91775
41248,91776,6,37,Los Angeles,Los Angeles - 91776
41249,91780,6,37,Los Angeles,Los Angeles - 91780
41250,91784,6,71,San Bernardino,San Bernardino - 91784
41251,91786,6,71,San Bernardino,San Bernardino - 91786
41252,91789,6,37,Los Angeles,Los Angeles - 91789
41253,91790,6,37,Los Angeles,Los Angeles - 91790
41254,91791,6,37,Los Angeles,Los Angeles - 91791
41255,91792,6,37,Los Angeles,Los Angeles - 91792
41256,91801,6,37,Los Angeles,Los Angeles - 91801
41257,91803,6,37,Los Angeles,Los Angeles - 91803
41258,91901,6,73,San Diego,San Diego - 91901
41259,91902,6,73,San Diego,San Diego - 91902
41260,91905,6,73,San Diego,San Diego - 91905
41261,91906,6,73,San Diego,San Diego - 91906
41262,91910,6,73,San Diego,San Diego - 91910
41263,91911,6,73,San Diego,San Diego - 91911
41264,91913,6,73,San Diego,San Diego - 91913
41265,91914,6,73,San Diego,San Diego - 91914
41266,91915,6,73,San Diego,San Diego - 91915
41267,91916,6,73,San Diego,San Diego - 91916
41268,91917,6,73,San Diego,San Diego - 91917
41269,91931,6,73,San Diego,San Diego - 91931
41270,91932,6,73,San Diego,San Diego - 91932
41271,91934,6,73,San Diego,San Diego - 91934
41272,91935,6,73,San Diego,San Diego - 91935
41273,91941,6,73,San Diego,San Diego - 91941
41274,91942,6,73,San Diego,San Diego - 91942
41275,91945,6,73,San Diego,San Diego - 91945
41276,91948,6,73,San Diego,San Diego - 91948
41277,91950,6,73,San Diego,San Diego - 91950
41278,91962,6,73,San Diego,San Diego - 91962
41279,91963,6,73,San Diego,San Diego - 91963
41280,91977,6,73,San Diego,San Diego - 91977
41281,91978,6,73,San Diego,San Diego - 91978
41282,91980,6,73,San Diego,San Diego - 91980
41283,92003,6,73,San Diego,San Diego - 92003
41284,92004,6,25,Imperial,Imperial - 92004
41285,92004,6,73,San Diego,San Diego - 92004
41286,92007,6,73,San Diego,San Diego - 92007
41287,92008,6,73,San Diego,San Diego - 92008
41288,92009,6,73,San Diego,San Diego - 92009
41289,92010,6,73,San Diego,San Diego - 92010
41290,92011,6,73,San Diego,San Diego - 92011
41291,92014,6,73,San Diego,San Diego - 92014
41292,92019,6,73,San Diego,San Diego - 92019
41293,92020,6,73,San Diego,San Diego - 92020
41294,92021,6,73,San Diego,San Diego - 92021
41295,92024,6,73,San Diego,San Diego - 92024
41296,92025,6,73,San Diego,San Diego - 92025
41297,92026,6,73,San Diego,San Diego - 92026
41298,92027,6,73,San Diego,San Diego - 92027
41299,92028,6,65,Riverside,Riverside - 92028
41300,92028,6,73,San Diego,San Diego - 92028
41301,92029,6,73,San Diego,San Diego - 92029
41302,92036,6,73,San Diego,San Diego - 92036
41303,92037,6,73,San Diego,San Diego - 92037
41304,92040,6,73,San Diego,San Diego - 92040
41305,92054,6,73,San Diego,San Diego - 92054
41306,92055,6,73,San Diego,San Diego - 92055
41307,92056,6,73,San Diego,San Diego - 92056
41308,92057,6,73,San Diego,San Diego - 92057
41309,92058,6,73,San Diego,San Diego - 92058
41310,92059,6,73,San Diego,San Diego - 92059
41311,92060,6,73,San Diego,San Diego - 92060
41312,92061,6,73,San Diego,San Diego - 92061
41313,92064,6,73,San Diego,San Diego - 92064
41314,92065,6,73,San Diego,San Diego - 92065
41315,92066,6,73,San Diego,San Diego - 92066
41316,92067,6,73,San Diego,San Diego - 92067
41317,92069,6,73,San Diego,San Diego - 92069
41318,92070,6,73,San Diego,San Diego - 92070
41319,92071,6,73,San Diego,San Diego - 92071
41320,92075,6,73,San Diego,San Diego - 92075
41321,92078,6,73,San Diego,San Diego - 92078
41322,92081,6,73,San Diego,San Diego - 92081
41323,92082,6,73,San Diego,San Diego - 92082
41324,92083,6,73,San Diego,San Diego - 92083
41325,92084,6,73,San Diego,San Diego - 92084
41326,92086,6,73,San Diego,San Diego - 92086
41327,92091,6,73,San Diego,San Diego - 92091
41328,92101,6,73,San Diego,San Diego - 92101
41329,92102,6,73,San Diego,San Diego - 92102
41330,92103,6,73,San Diego,San Diego - 92103
41331,92104,6,73,San Diego,San Diego - 92104
41332,92105,6,73,San Diego,San Diego - 92105
41333,92106,6,73,San Diego,San Diego - 92106
41334,92107,6,73,San Diego,San Diego - 92107
41335,92108,6,73,San Diego,San Diego - 92108
41336,92109,6,73,San Diego,San Diego - 92109
41337,92110,6,73,San Diego,San Diego - 92110
41338,92111,6,73,San Diego,San Diego - 92111
41339,92113,6,73,San Diego,San Diego - 92113
41340,92114,6,73,San Diego,San Diego - 92114
41341,92115,6,73,San Diego,San Diego - 92115
41342,92116,6,73,San Diego,San Diego - 92116
41343,92117,6,73,San Diego,San Diego - 92117
41344,92118,6,73,San Diego,San Diego - 92118
41345,92119,6,73,San Diego,San Diego - 92119
41346,92120,6,73,San Diego,San Diego - 92120
41347,92121,6,73,San Diego,San Diego - 92121
41348,92122,6,73,San Diego,San Diego - 92122
41349,92123,6,73,San Diego,San Diego - 92123
41350,92124,6,73,San Diego,San Diego - 92124
41351,92126,6,73,San Diego,San Diego - 92126
41352,92127,6,73,San Diego,San Diego - 92127
41353,92128,6,73,San Diego,San Diego - 92128
41354,92129,6,73,San Diego,San Diego - 92129
41355,92130,6,73,San Diego,San Diego - 92130
41356,92131,6,73,San Diego,San Diego - 92131
41357,92132,6,73,San Diego,San Diego - 92132
41358,92134,6,73,San Diego,San Diego - 92134
41359,92135,6,73,San Diego,San Diego - 92135
41360,92139,6,73,San Diego,San Diego - 92139
41361,92140,6,73,San Diego,San Diego - 92140
41362,92145,6,73,San Diego,San Diego - 92145
41363,92147,6,73,San Diego,San Diego - 92147
41364,92154,6,73,San Diego,San Diego - 92154
41365,92155,6,73,San Diego,San Diego - 92155
41366,92173,6,73,San Diego,San Diego - 92173
41367,92201,6,65,Riverside,Riverside - 92201
41368,92203,6,65,Riverside,Riverside - 92203
41369,92210,6,65,Riverside,Riverside - 92210
41370,92211,6,65,Riverside,Riverside - 92211
41371,92220,6,65,Riverside,Riverside - 92220
41372,92222,6,25,Imperial,Imperial - 92222
41373,92223,6,65,Riverside,Riverside - 92223
41374,92225,6,25,Imperial,Imperial - 92225
41375,92225,6,65,Riverside,Riverside - 92225
41376,92227,6,25,Imperial,Imperial - 92227
41377,92230,6,65,Riverside,Riverside - 92230
41378,92231,6,25,Imperial,Imperial - 92231
41379,92233,6,25,Imperial,Imperial - 92233
41380,92234,6,65,Riverside,Riverside - 92234
41381,92236,6,65,Riverside,Riverside - 92236
41382,92239,6,65,Riverside,Riverside - 92239
41383,92240,6,65,Riverside,Riverside - 92240
41384,92241,6,65,Riverside,Riverside - 92241
41385,92242,6,71,San Bernardino,San Bernardino - 92242
41386,92243,6,25,Imperial,Imperial - 92243
41387,92249,6,25,Imperial,Imperial - 92249
41388,92250,6,25,Imperial,Imperial - 92250
41389,92251,6,25,Imperial,Imperial - 92251
41390,92252,6,71,San Bernardino,San Bernardino - 92252
41391,92253,6,65,Riverside,Riverside - 92253
41392,92254,6,65,Riverside,Riverside - 92254
41393,92256,6,71,San Bernardino,San Bernardino - 92256
41394,92257,6,25,Imperial,Imperial - 92257
41395,92258,6,65,Riverside,Riverside - 92258
41396,92259,6,25,Imperial,Imperial - 92259
41397,92260,6,65,Riverside,Riverside - 92260
41398,92262,6,65,Riverside,Riverside - 92262
41399,92264,6,65,Riverside,Riverside - 92264
41400,92266,6,25,Imperial,Imperial - 92266
