,ZCTA5,STATE,COUNTY
41518,92571,6,65
41519,92582,6,65
41520,92583,6,65
41521,92584,6,65
41522,92585,6,65
41523,92586,6,65
41524,92587,6,65
41525,92590,6,65
41526,92591,6,65
41527,92592,6,65
41528,92595,6,65
41529,92596,6,65
41530,92602,6,59
41531,92603,6,59
41532,92604,6,59
41533,92606,6,59
41534,92610,6,59
41535,92612,6,59
41536,92614,6,59
41537,92617,6,59
41538,92618,6,59
41539,92620,6,59
41540,92624,6,59
41541,92625,6,59
41542,92626,6,59
41543,92627,6,59
41544,92629,6,59
41545,92630,6,59
41546,92637,6,59
41547,92646,6,59
41548,92647,6,59
41549,92648,6,59
41550,92649,6,59
41551,92651,6,59
41552,92653,6,59
41553,92655,6,59
41554,92656,6,59
41555,92657,6,59
41556,92660,6,59
41557,92661,6,59
41558,92662,6,59
41559,92663,6,59
41560,92672,6,59
41561,92672,6,73
41562,92673,6,59
41563,92675,6,59
41564,92676,6,59
41565,92677,6,59
41566,92678,6,59
41567,92679,6,59
41568,92683,6,59
41569,92688,6,59
41570,92691,6,59
41571,92692,6,59
41572,92694,6,59
41573,92701,6,59
41574,92703,6,59
41575,92704,6,59
41576,92705,6,59
41577,92706,6,59
41578,92707,6,59
41579,92708,6,59
41580,92780,6,59
41581,92782,6,59
41582,92801,6,59
41583,92802,6,59
41584,92804,6,59
41585,92805,6,59
41586,92806,6,59
41587,92807,6,59
41588,92808,6,59
41589,92821,6,59
41590,92823,6,59
41591,92831,6,59
41592,92832,6,59
41593,92833,6,59
41594,92835,6,59
41595,92840,6,59
41596,92841,6,59
41597,92843,6,59
41598,92844,6,59
41599,92845,6,59
41600,92860,6,65
41601,92861,6,59
41602,92865,6,59
41603,92866,6,59
41604,92867,6,59
41605,92868,6,59
41606,92869,6,59
41607,92870,6,59
41608,92879,6,65
41609,92880,6,65
41610,92880,6,71
41611,92881,6,65
41612,92882,6,65
41613,92883,6,65
41614,92886,6,59
41615,92887,6,59
41616,93001,6,83
41617,93001,6,111
41618,93003,6,111
41619,93004,6,111
41620,93010,6,111
41621,93012,6,111
41622,93013,6,83
41623,93013,6,111
41624,93015,6,111
41625,93021,6,111
41626,93022,6,111
41627,93023,6,111
41628,93030,6,111
41629,93033,6,111
41630,93035,6,111
41631,93036,6,111
41632,93040,6,111
41633,93041,6,111
41634,93042,6,111
41635,93043,6,111
41636,93060,6,111
41637,93063,6,111
41638,93064,6,111
41639,93065,6,111
41640,93066,6,111
41641,93067,6,83
41642,93101,6,83
41643,93103,6,83
41644,93105,6,83
41645,93108,6,83
41646,93109,6,83
41647,93110,6,83
41648,93111,6,83
41649,93117,6,83
41650,93201,6,31
41651,93201,6,107
41652,93202,6,31
41653,93203,6,29
41654,93204,6,31
41655,93205,6,29
41656,93206,6,29
41657,93207,6,107
41658,93208,6,107
41659,93210,6,19
41660,93210,6,53
41661,93210,6,69
41662,93212,6,31
41663,93212,6,107
41664,93215,6,29
41665,93215,6,107
41666,93218,6,107
41667,93219,6,107
41668,93220,6,29
41669,93221,6,107
41670,93222,6,29
41671,93223,6,107
41672,93224,6,29
41673,93225,6,29
41674,93225,6,111
41675,93226,6,29
41676,93230,6,31
41677,93234,6,19
41678,93235,6,107
41679,93238,6,29
41680,93238,6,107
41681,93239,6,31
41682,93240,6,29
41683,93241,6,29
41684,93242,6,19
41685,93242,6,31
41686,93243,6,29
41687,93243,6,37
41688,93244,6,107
41689,93245,6,31
41690,93247,6,107
41691,93249,6,29
41692,93250,6,29
41693,93251,6,29
41694,93252,6,29
41695,93252,6,79
41696,93252,6,83
41697,93252,6,111
41698,93254,6,79
41699,93254,6,83
41700,93255,6,29
41701,93256,6,107
41702,93257,6,107
41703,93258,6,107
41704,93260,6,107
41705,93261,6,107
41706,93262,6,107
41707,93263,6,29
41708,93265,6,107
41709,93266,6,31
41710,93267,6,107
41711,93268,6,29
41712,93270,6,107
41713,93271,6,107
41714,93272,6,107
41715,93274,6,107
41716,93276,6,29
41717,93277,6,107
41718,93280,6,29
41719,93283,6,29
41720,93285,6,29
41721,93286,6,107
41722,93287,6,29
41723,93291,6,107
41724,93292,6,107
41725,93301,6,29
41726,93304,6,29
41727,93305,6,29
41728,93306,6,29
41729,93307,6,29
41730,93308,6,29
41731,93309,6,29
41732,93311,6,29
41733,93312,6,29
41734,93313,6,29
41735,93314,6,29
41736,93401,6,79
41737,93402,6,79
41738,93405,6,79
41739,93410,6,79
41740,93420,6,79
41741,93422,6,79
41742,93424,6,79
41743,93426,6,53
41744,93426,6,79
41745,93427,6,83
41746,93428,6,79
41747,93429,6,83
41748,93430,6,79
41749,93432,6,79
41750,93433,6,79
41751,93434,6,83
41752,93436,6,83
41753,93437,6,83
41754,93440,6,83
41755,93441,6,83
41756,93442,6,79
41757,93444,6,79
41758,93445,6,79
41759,93446,6,79
41760,93449,6,79
41761,93450,6,53
41762,93451,6,53
41763,93451,6,79
41764,93452,6,79
41765,93453,6,79
41766,93454,6,79
41767,93454,6,83
41768,93455,6,83
41769,93458,6,79
41770,93458,6,83
41771,93460,6,83
41772,93461,6,29
41773,93461,6,53
41774,93461,6,79
41775,93463,6,83
41776,93465,6,79
41777,93501,6,29
41778,93505,6,29
41779,93510,6,37
41780,93512,6,51
41781,93513,6,27
41782,93514,6,27
41783,93514,6,51
41784,93516,6,29
41785,93516,6,71
41786,93517,6,51
41787,93518,6,29
41788,93519,6,29
41789,93522,6,27
41790,93523,6,29
41791,93524,6,29
41792,93526,6,27
41793,93527,6,27
41794,93527,6,29
41795,93527,6,107
41796,93528,6,29
41797,93529,6,51
41798,93530,6,27
41799,93531,6,29
41800,93532,6,37
41801,93534,6,37
41802,93535,6,37
41803,93536,6,37
41804,93541,6,51
41805,93543,6,37
41806,93544,6,37
41807,93545,6,27
41808,93546,6,51
41809,93549,6,27
41810,93550,6,37
41811,93551,6,37
41812,93552,6,37
41813,93553,6,37
41814,93554,6,29
41815,93555,6,29
41816,93555,6,71
41817,93558,6,71
41818,93560,6,29
41819,93560,6,37
41820,93561,6,29
41821,93562,6,71
41822,93563,6,37
41823,93591,6,37
41824,93592,6,27
41825,93601,6,39
41826,93601,6,43
41827,93602,6,19
41828,93603,6,107
41829,93604,6,39
41830,93605,6,19
41831,93606,6,19
41832,93608,6,19
41833,93609,6,19
41834,93610,6,39
41835,93610,6,47
41836,93611,6,19
41837,93612,6,19
41838,93614,6,39
41839,93615,6,107
41840,93616,6,19
41841,93618,6,19
41842,93618,6,107
41843,93619,6,19
41844,93619,6,107
41845,93620,6,19
41846,93620,6,47
41847,93621,6,19
41848,93622,6,19
41849,93622,6,39
41850,93622,6,47
41851,93623,6,39
41852,93623,6,43
41853,93624,6,19
41854,93625,6,19
41855,93626,6,19
41856,93626,6,39
41857,93627,6,19
41858,93628,6,19
41859,93630,6,19
41860,93631,6,19
41861,93631,6,31
41862,93631,6,107
41863,93633,6,19
41864,93633,6,107
41865,93634,6,19
41866,93635,6,47
41867,93636,6,39
41868,93637,6,39
41869,93638,6,39
41870,93640,6,19
41871,93641,6,19
41872,93643,6,39
41873,93644,6,39
41874,93645,6,39
41875,93646,6,19
41876,93646,6,107
41877,93647,6,107
41878,93648,6,19
41879,93650,6,19
41880,93651,6,19
41881,93652,6,19
41882,93653,6,39
41883,93653,6,43
41884,93654,6,19
41885,93654,6,107
41886,93656,6,19
41887,93656,6,31
41888,93657,6,19
41889,93660,6,19
41890,93662,6,19
41891,93664,6,19
41892,93665,6,47
41893,93666,6,107
41894,93667,6,19
41895,93668,6,19
41896,93669,6,39
41897,93673,6,107
41898,93675,6,19
41899,93701,6,19
41900,93702,6,19
41901,93703,6,19
41902,93704,6,19
41903,93705,6,19
41904,93706,6,19
41905,93710,6,19
41906,93711,6,19
41907,93720,6,19
41908,93721,6,19
41909,93722,6,19
41910,93723,6,19
41911,93725,6,19
41912,93726,6,19
41913,93727,6,19
41914,93728,6,19
41915,93730,6,19
41916,93901,6,53
41917,93905,6,53
41918,93906,6,53
41919,93907,6,53
41920,93908,6,53
41921,93920,6,53
41922,93921,6,53
41923,93923,6,53
41924,93924,6,53
41925,93925,6,53
41926,93926,6,53
41927,93927,6,53
41928,93928,6,53
41929,93930,6,53
41930,93930,6,69
41931,93932,6,53
41932,93933,6,53
41933,93940,6,53
41934,93943,6,53
41935,93950,6,53
41936,93953,6,53
41937,93954,6,53
41938,93955,6,53
41939,93960,6,53
41940,93962,6,53
41941,94002,6,81
41942,94005,6,81
41943,94010,6,81
41944,94014,6,81
41945,94015,6,81
41946,94019,6,81
41947,94020,6,81
41948,94021,6,81
41949,94022,6,85
41950,94024,6,85
41951,94025,6,81
41952,94027,6,81
41953,94028,6,81
41954,94028,6,85
41955,94030,6,81
41956,94037,6,81
41957,94038,6,81
41958,94040,6,85
41959,94041,6,85
41960,94043,6,85
41961,94044,6,81
41962,94060,6,81
41963,94061,6,81
41964,94062,6,81
41965,94063,6,81
41966,94065,6,81
41967,94066,6,81
41968,94070,6,81
41969,94074,6,81
41970,94080,6,81
41971,94085,6,85
41972,94086,6,85
41973,94087,6,85
41974,94089,6,85
41975,94102,6,75
41976,94103,6,75
41977,94104,6,75
41978,94105,6,75
41979,94107,6,75
41980,94108,6,75
41981,94109,6,75
41982,94110,6,75
41983,94111,6,75
41984,94112,6,75
41985,94114,6,75
41986,94115,6,75
41987,94116,6,75
41988,94117,6,75
41989,94118,6,75
41990,94121,6,75
41991,94122,6,75
41992,94123,6,75
41993,94124,6,75
41994,94127,6,75
41995,94128,6,81
41996,94129,6,75
41997,94130,6,75
41998,94131,6,75
41999,94132,6,75
42000,94133,6,75
42001,94134,6,75
42002,94158,6,75
42003,94301,6,85
42004,94303,6,81
42005,94303,6,85
42006,94304,6,85
42007,94305,6,85
42008,94306,6,85
42009,94401,6,81
42010,94402,6,81
42011,94403,6,81
42012,94404,6,81
42013,94501,6,1
42014,94502,6,1
42015,94503,6,55
42016,94505,6,1
42017,94505,6,13
42018,94506,6,13
42019,94507,6,13
42020,94508,6,55
42021,94509,6,13
42022,94510,6,95
42023,94511,6,13
42024,94512,6,95
42025,94513,6,13
42026,94514,6,1
42027,94514,6,13
42028,94515,6,55
42029,94515,6,97
42030,94516,6,13
42031,94517,6,13
42032,94518,6,13
42033,94519,6,13
42034,94520,6,13
42035,94521,6,13
42036,94523,6,13
42037,94525,6,13
42038,94526,6,13
42039,94528,6,13
42040,94530,6,13
42041,94531,6,13
42042,94533,6,95
42043,94534,6,95
42044,94535,6,95
42045,94536,6,1
42046,94538,6,1
42047,94539,6,1
42048,94541,6,1
42049,94542,6,1
42050,94544,6,1
42051,94545,6,1
42052,94546,6,1
42053,94547,6,13
42054,94548,6,13
42055,94549,6,13
42056,94550,6,1
42057,94550,6,85
42058,94551,6,1
42059,94551,6,13
42060,94552,6,1
42061,94553,6,13
42062,94555,6,1
42063,94556,6,13
42064,94558,6,55
42065,94559,6,55
42066,94560,6,1
42067,94561,6,13
42068,94563,6,13
42069,94564,6,13
42070,94565,6,13
42071,94566,6,1
42072,94567,6,55
42073,94568,6,1
42074,94569,6,13
42075,94571,6,67
42076,94571,6,95
42077,94572,6,13
42078,94573,6,55
42079,94574,6,55
42080,94575,6,13
42081,94576,6,55
42082,94577,6,1
42083,94578,6,1
42084,94579,6,1
42085,94580,6,1
42086,94582,6,13
42087,94583,6,13
42088,94585,6,95
42089,94586,6,1
42090,94587,6,1
42091,94588,6,1
42092,94588,6,13
42093,94589,6,55
42094,94589,6,95
42095,94590,6,95
42096,94591,6,95
42097,94592,6,95
42098,94595,6,13
42099,94596,6,13
42100,94597,6,13
42101,94598,6,13
42102,94599,6,55
42103,94601,6,1
42104,94602,6,1
42105,94603,6,1
42106,94605,6,1
42107,94606,6,1
42108,94607,6,1
42109,94608,6,1
42110,94609,6,1
42111,94610,6,1
42112,94611,6,1
42113,94611,6,13
42114,94612,6,1
42115,94613,6,1
42116,94618,6,1
42117,94619,6,1
42118,94621,6,1
42119,94702,6,1
42120,94703,6,1
42121,94704,6,1
42122,94705,6,1
42123,94706,6,1
42124,94706,6,13
42125,94707,6,1
42126,94707,6,13
42127,94708,6,1
42128,94708,6,13
42129,94709,6,1
42130,94710,6,1
42131,94720,6,1
42132,94801,6,13
42133,94803,6,13
42134,94804,6,13
42135,94805,6,13
42136,94806,6,13
42137,94850,6,13
42138,94901,6,41
42139,94903,6,41
42140,94904,6,41
42141,94920,6,41
42142,94922,6,97
42143,94923,6,97
42144,94924,6,41
42145,94925,6,41
42146,94928,6,97
42147,94929,6,41
42148,94930,6,41
42149,94931,6,97
42150,94933,6,41
42151,94937,6,41
42152,94938,6,41
